"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Tournament ",15,187.403633901673,12.4935755934448,2.80084804424004,0.000397642062242336
"Residuals  ",344,1534.46025498722,4.46064027612563,NA,NA
