"","Tournament","Matchday","Date","Venue","Club","Opponent","Result","Position","Minute","When.Scored","Goal.Type","Assist","Score_Home","Score_Away"
"317","UEFA Champions League ","Gruppenphase","12/2/20","Away","Paris Saint-Germain","Manchester United","1:3","LW",901,"1:3","Left-footed shot","Rafinha",1,3
"318","UEFA Champions League ","Gruppenphase","12/9/20","Home","Paris Saint-Germain","Basaksehir FK","5:1","SS",21,"1:0","Right-footed shot","Marco Verratti",5,1
"319","UEFA Champions League ","Gruppenphase","12/9/20","Home","Paris Saint-Germain","Basaksehir FK","5:1","SS",37,"2:0","Counter attack goal","Kylian Mbappé",5,1
"320","UEFA Champions League ","Gruppenphase","12/9/20","Home","Paris Saint-Germain","Basaksehir FK","5:1","SS",50,"4:0","Right-footed shot","Ángel Di María",5,1
"321","Trophée des Champions ","Finale","1/13/21","Home","Paris Saint-Germain","Olympique Marseille","2:1","LW",85,"2:0","Penalty","Not Applicable",2,1
"322","Ligue 1 ","21","1/22/21","Home","Paris Saint-Germain","Montpellier HSC","4:0","LW",60,"2:0","Right-footed shot","Kylian Mbappé",4,0
"323","Ligue 1 ","22","1/31/21","Away","Paris Saint-Germain","FC Lorient","3:2","LW",45,"1:1","Penalty","Not Applicable",3,2
"324","Ligue 1 ","22","1/31/21","Away","Paris Saint-Germain","FC Lorient","3:2","LW",58,"1:2","Penalty","Not Applicable",3,2
"325","Coupe de France ","Viertelfinale","4/21/21","Home","Paris Saint-Germain","Angers SCO","5:0","SS",65,"3:0","Header","Julian Draxler",5,0
"326","Ligue 1 ","35","5/1/21","Home","Paris Saint-Germain","RC Lens","2:1","LW",33,"1:0","Right-footed shot","Julian Draxler",2,1
"327","Ligue 1 ","36","5/9/21","Away","Paris Saint-Germain","Stade Rennais FC","1:1","LW",456,"0:1","Penalty","Not Applicable",1,1
"328","Ligue 1 ","37","5/16/21","Home","Paris Saint-Germain","Stade Reims","4:0","SS",13,"1:0","Penalty","Not Applicable",4,0
"329","Ligue 1 ","6","9/19/21","Home","Paris Saint-Germain","Olympique Lyon","2:1","LW",66,"1:1","Penalty","Not Applicable",2,1
"330","Ligue 1 ","13","11/6/21","Away","Paris Saint-Germain","FC Girondins Bordeaux","2:3","LW",26,"0:1","Right-footed shot","Kylian Mbappé",2,3
"331","Ligue 1 ","13","11/6/21","Away","Paris Saint-Germain","FC Girondins Bordeaux","2:3","LW",43,"0:2","Right-footed shot","Kylian Mbappé",2,3
"332","Ligue 1 ","25","2/19/22","Away","Paris Saint-Germain","FC Nantes","3:1","LW",47,"3:1","Right-footed shot","Lionel Messi",3,1
"333","Ligue 1 ","28","3/13/22","Home","Paris Saint-Germain","FC Girondins Bordeaux","3:0","LW",52,"2:0","Right-footed shot","Achraf Hakimi",3,0
"334","Ligue 1 ","30","4/3/22","Home","Paris Saint-Germain","FC Lorient","5:1","LW",12,"1:0","Right-footed shot","Kylian Mbappé",5,1
"335","Ligue 1 ","30","4/3/22","Home","Paris Saint-Germain","FC Lorient","5:1","LW",90,"5:1","Right-footed shot","Kylian Mbappé",5,1
"336","Ligue 1 ","31","4/9/22","Away","Paris Saint-Germain","Clermont Foot 63","1:6","LW",6,"0:1","Left-footed shot","Lionel Messi",1,6
"337","Ligue 1 ","31","4/9/22","Away","Paris Saint-Germain","Clermont Foot 63","1:6","LW",71,"1:3","Penalty","Not Applicable",1,6
"338","Ligue 1 ","31","4/9/22","Away","Paris Saint-Germain","Clermont Foot 63","1:6","LW",83,"1:6","Left-footed shot","Kylian Mbappé",1,6
"339","Ligue 1 ","32","4/17/22","Home","Paris Saint-Germain","Olympique Marseille","2:1","LW",12,"1:0","Left-footed shot","Marco Verratti",2,1
"340","Ligue 1 ","36","5/8/22","Home","Paris Saint-Germain","ESTAC Troyes","2:2","LW",25,"2:0","Penalty","Not Applicable",2,2
"341","Ligue 1 ","38","5/21/22","Home","Paris Saint-Germain","FC Metz","5:0","LW",31,"3:0","Right-footed shot","Not Applicable",5,0
"342","Trophée des Champions ","Finale","7/31/22","Home","Paris Saint-Germain","FC Nantes","4:0","LW",455,"2:0","Direct free kick","Not Applicable",4,0
"343","Trophée des Champions ","Finale","7/31/22","Home","Paris Saint-Germain","FC Nantes","4:0","LW",82,"4:0","Penalty","Not Applicable",4,0
"344","Ligue 1 ","1","8/6/22","Away","Paris Saint-Germain","Clermont Foot 63","0:5","LW",9,"0:1","Right-footed shot","Lionel Messi",0,5
"345","Ligue 1 ","2","8/13/22","Home","Paris Saint-Germain","Montpellier HSC","5:2","SS",43,"2:0","Penalty","Not Applicable",5,2
"346","Ligue 1 ","2","8/13/22","Home","Paris Saint-Germain","Montpellier HSC","5:2","SS",51,"3:0","Header","Not Applicable",5,2
"347","Ligue 1 ","3","8/21/22","Away","Paris Saint-Germain","LOSC Lille","1:7","LW",43,"0:4","Right-footed shot","Not Applicable",1,7
"348","Ligue 1 ","3","8/21/22","Away","Paris Saint-Germain","LOSC Lille","1:7","LW",52,"0:5","Right-footed shot","Achraf Hakimi",1,7
"349","Ligue 1 ","4","8/28/22","Home","Paris Saint-Germain","AS Monaco","1:1","LW",70,"1:1","Penalty","Not Applicable",1,1
"350","Ligue 1 ","5","8/31/22","Away","Paris Saint-Germain","FC Toulouse","0:3","LW",37,"0:1","Right-footed shot","Lionel Messi",0,3
"351","Ligue 1 ","7","9/10/22","Home","Paris Saint-Germain","Stade Brestois 29","1:0","SS",30,"1:0","Left-footed shot","Lionel Messi",1,0
"352","UEFA Champions League ","Gruppenphase","9/14/22","Away","Paris Saint-Germain","Maccabi Haifa","1:3","LW",88,"1:3","Left-footed shot","Marco Verratti",1,3
"353","Ligue 1 ","11","10/16/22","Home","Paris Saint-Germain","Olympique Marseille","1:0","AM",452,"1:0","Right-footed shot","Kylian Mbappé",1,0
"354","UEFA Champions League ","Gruppenphase","10/25/22","Home","Paris Saint-Germain","Maccabi Haifa","7:2","AM",35,"3:0","Right-footed shot","Lionel Messi",7,2
"355","Ligue 1 ","13","10/29/22","Home","Paris Saint-Germain","ESTAC Troyes","4:3","LW",62,"3:2","Right-footed shot","Lionel Messi",4,3
"356","Ligue 1 ","14","11/6/22","Away","Paris Saint-Germain","FC Lorient","1:2","AM",9,"0:1","Left-footed shot","Hugo Ekitiké",1,2
"357","Coupe de France ","6.Runde","1/23/23","Away","Paris Saint-Germain","US Pays de Cassel","0:7","LW",33,"0:2","Left-footed shot","Kylian Mbappé",0,7
"358","Ligue 1 ","20","1/29/23","Home","Paris Saint-Germain","Stade Reims","1:1","LW",51,"1:0","Left-footed shot","Juan Bernat",1,1
"359","Ligue 1 ","24","2/19/23","Home","Paris Saint-Germain","LOSC Lille","4:3","AM",17,"2:0","Right-footed shot","Vitinha",4,3
"360","AFC Champions League ","Gruppenphase","10/3/23","Away","Al-Hilal SFC","FC Nassaji Mazandaran","0:3","AM",58,"0:2","Left-footed shot","Nasser Al-Dawsari",0,3
